drugbank_id,drug_name,carrier_id,carrier_name,actions,organism,gene_name,uniprot_id
DB00023,Asparaginase Escherichia coli,BE0000537,Thyroxine-binding globulin,inhibitor,Humans,SERPINA7,P05543
DB00059,Pegaspargase,BE0000537,Thyroxine-binding globulin,inhibitor,Humans,SERPINA7,P05543
DB00070,Hyaluronidase (ovine),BE0000530,Albumin,inhibitor,Humans,ALB,P02768
DB00080,Daptomycin,BE0000530,Albumin,binder,Humans,ALB,P02768
DB00080,Daptomycin,BE0000925,Alpha-1-acid glycoprotein 1,binder,Humans,ORM1,P02763
DB00080,Daptomycin,BE0000952,Alpha-1-antitrypsin,binder,Humans,SERPINA1,P01009
DB00080,Daptomycin,BE0000499,Low-density lipoprotein receptor,binder,Humans,LDLR,P01130
DB00080,Daptomycin,BE0000685,Sex hormone-binding globulin,binder,Humans,SHBG,P04278
DB00080,Daptomycin,BE0009909,Hemopexin,binder,Humans,HPX,P02790
DB00083,Botulinum toxin type A,BE0000530,Albumin,binder,Humans,ALB,P02768
DB00104,Octreotide,BE0000530,Albumin,binder,Humans,ALB,P02768
DB00107,Oxytocin,BE0000751,Oxytocin-neurophysin 1,binder,Humans,OXT,P01178
DB00126,Ascorbic acid,BE0000530,Albumin,binder,Humans,ALB,P02768
DB00132,alpha-Linolenic acid,BE0001821,"Fatty acid-binding protein, brain",,Humans,FABP7,O15540
DB00136,Calcitriol,BE0001141,Vitamin D-binding protein,binder,Humans,GC,P02774
DB00137,Lutein,BE0000530,Albumin,,Humans,ALB,P02768
DB00152,Thiamine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB00153,Ergocalciferol,BE0001141,Vitamin D-binding protein,binder,Humans,GC,P02774
DB00154,Daleuton,BE0001821,"Fatty acid-binding protein, brain",,Humans,FABP7,O15540
DB00159,Icosapent,BE0000530,Albumin,binder,Humans,ALB,P02768
DB00162,Vitamin A,BE0000530,Albumin,binder,Humans,ALB,P02768
DB00162,Vitamin A,BE0000786,Retinaldehyde-binding protein 1,binder,Humans,RLBP1,P12271
DB00162,Vitamin A,BE0000255,Retinol-binding protein 3,binder,Humans,RBP3,P10745
DB00162,Vitamin A,BE0000301,Retinol-binding protein 1,binder,Humans,RBP1,P09455
DB00162,Vitamin A,BE0000682,Retinol-binding protein 5,binder,Humans,RBP5,P82980
DB00162,Vitamin A,BE0000532,Retinoid-binding protein 7,binder,Humans,RBP7,Q96R05
DB00162,Vitamin A,BE0000314,Retinol-binding protein 4,binder,Humans,RBP4,P02753
DB00162,Vitamin A,BE0000505,Retinol-binding protein 2,binder,Humans,RBP2,P50120
DB00163,Vitamin E,BE0000256,SEC14-like protein 2,binder,Humans,SEC14L2,O76054
DB00163,Vitamin E,BE0000339,SEC14-like protein 3,binder,Humans,SEC14L3,Q9UDX4
DB00163,Vitamin E,BE0009656,Phospholipid transfer protein,binder,Humans,PLTP,P55058
DB00163,Vitamin E,BE0000643,Alpha-tocopherol transfer protein,binder,Humans,TTPA,P49638
DB00165,Pyridoxine,BE0000530,Albumin,binder,Humans,ALB,P02768
DB00169,Cholecalciferol,BE0001141,Vitamin D-binding protein,,Humans,GC,P02774
DB00180,Flunisolide,BE0000209,Corticosteroid-binding globulin,binder,Humans,SERPINA6,P08185
DB00200,Hydroxocobalamin,BE0000362,Transcobalamin-2,substrate,Humans,TCN2,P20062
DB00214,Torasemide,BE0000530,Albumin,substrate,Humans,ALB,P02768
