drugbank_id,drug_name,enzyme_id,enzyme_name,actions,inhibition_strength,induction_strength,organism,gene_name,uniprot_id
DB00006,Bivalirudin,BE0001075,Myeloperoxidase,inhibitor,unknown,,Humans,MPO,P05164
DB00008,Peginterferon alfa-2a,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00011,Interferon alfa-n1,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00013,Urokinase,BE0001198,Macrophage metalloelastase,substrate,,,Humans,MMP12,P39900
DB00018,Interferon alfa-n3,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00019,Pegfilgrastim,BE0000394,Neutrophil elastase,substrate,,,Humans,ELANE,P08246
DB00022,Peginterferon alfa-2b,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00022,Peginterferon alfa-2b,BE0002363,Cytochrome P450 2D6,inhibitor,weak,,Humans,CYP2D6,P10635
DB00022,Peginterferon alfa-2b,BE0002793,Cytochrome P450 2C9,inducer,,weak,Humans,CYP2C9,P11712
DB00025,"Antihemophilic factor, human recombinant",BE0000048,Prothrombin,activator,,,Humans,F2,P00734
DB00025,"Antihemophilic factor, human recombinant",BE0000380,Vitamin K-dependent protein C,substrate,,,Humans,PROC,P04070
DB00030,Insulin human,BE0001183,Insulin-degrading enzyme,"substrate, cleavage",,,Humans,IDE,P14735
DB00030,Insulin human,BE0002124,Neuroendocrine convertase 2,activator,,,Humans,PCSK2,P16519
DB00030,Insulin human,BE0002125,Neuroendocrine convertase 1,activator,,,Humans,PCSK1,P29120
DB00030,Insulin human,BE0002433,Cytochrome P450 1A2,inducer,,unknown,Humans,CYP1A2,P05177
DB00033,Interferon gamma-1b,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00034,Interferon alfa-2a,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00035,Desmopressin,BE0000262,Prostaglandin G/H synthase 2,inducer,,unknown,Humans,PTGS2,P35354
DB00035,Desmopressin,BE0000017,Prostaglandin G/H synthase 1,inducer,,unknown,Humans,PTGS1,P23219
DB00041,Aldesleukin,BE0000262,Prostaglandin G/H synthase 2,inducer,,unknown,Humans,PTGS2,P35354
DB00041,Aldesleukin,BE0000657,Cytosolic phospholipase A2,inducer,,unknown,Humans,PLA2G4A,P47712
DB00041,Aldesleukin,BE0002638,Cytochrome P450 3A4,inhibitor,unknown,,Humans,CYP3A4,P08684
DB00041,Aldesleukin,BE0002204,Xanthine dehydrogenase/oxidase,inducer,,unknown,Humans,XDH,P47989
DB00041,Aldesleukin,BE0003533,Cytochrome P450 2E1,inhibitor,unknown,,Humans,CYP2E1,P05181
DB00046,Insulin lispro,BE0002433,Cytochrome P450 1A2,inducer,,unknown,Humans,CYP1A2,P05177
DB00046,Insulin lispro,BE0001183,Insulin-degrading enzyme,substrate,,,Humans,IDE,P14735
DB00047,Insulin glargine,BE0002433,Cytochrome P450 1A2,inducer,,unknown,Humans,CYP1A2,P05177
DB00052,Somatotropin,BE0002433,Cytochrome P450 1A2,inducer,,unknown,Humans,CYP1A2,P05177
DB00052,Somatotropin,BE0003536,Cytochrome P450 2C19,inhibitor,weak,,Humans,CYP2C19,P33261
DB00060,Interferon beta-1a,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00068,Interferon beta-1b,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00069,Interferon alfacon-1,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00071,Insulin pork,BE0002433,Cytochrome P450 1A2,inducer,,unknown,Humans,CYP1A2,P05177
DB00071,Insulin pork,BE0001183,Insulin-degrading enzyme,substrate,,,Humans,IDE,P14735
DB00082,Pegvisomant,BE0000549,"Sterol 26-hydroxylase, mitochondrial",inducer,,unknown,Humans,CYP27A1,Q02318
DB00082,Pegvisomant,BE0002240,Glutamine synthetase,inhibitor,unknown,,Humans,GLUL,P15104
DB00082,Pegvisomant,BE0002638,Cytochrome P450 3A4,inducer,,unknown,Humans,CYP3A4,P08684
DB00082,Pegvisomant,BE0002180,Cholinesterase,inhibitor,unknown,,Humans,BCHE,P06276
DB00082,Pegvisomant,BE0000421,Cytochrome P450 4A11,inhibitor,unknown,,Humans,CYP4A11,Q02928
DB00086,Streptokinase,BE0000657,Cytosolic phospholipase A2,inducer,,unknown,Humans,PLA2G4A,P47712
DB00091,Cyclosporine,,Cytochrome P450 3A4,,,,,,
DB00091,Cyclosporine,,Cytochrome P450 3A5,,,,,,
DB00091,Cyclosporine,,Cytochrome P450 3A4,,,,,,
DB00091,Cyclosporine,,Cytochrome P450 3A5,,,,,,
DB00091,Cyclosporine,,Cytochrome P450 3A4,,,,,,
DB00091,Cyclosporine,,Cytochrome P450 3A5,,,,,,
DB00091,Cyclosporine,BE0003536,Cytochrome P450 2C19,inhibitor,unknown,,Humans,CYP2C19,P33261
DB00091,Cyclosporine,BE0002363,Cytochrome P450 2D6,inhibitor,moderate,,Humans,CYP2D6,P10635
DB00091,Cyclosporine,BE0002362,Cytochrome P450 3A5,substrate,,,Humans,CYP3A5,P20815
DB00091,Cyclosporine,BE0002638,Cytochrome P450 3A4,"substrate, inhibitor",moderate,,Humans,CYP3A4,P08684
DB00099,Filgrastim,BE0000394,Neutrophil elastase,substrate,,,Humans,ELANE,P08246
DB00104,Octreotide,BE0001075,Myeloperoxidase,inhibitor,unknown,,Humans,MPO,P05164
DB00104,Octreotide,BE0002638,Cytochrome P450 3A4,inhibitor,unknown,,Humans,CYP3A4,P08684
DB00105,Interferon alfa-2b,BE0002433,Cytochrome P450 1A2,inhibitor,unknown,,Humans,CYP1A2,P05177
DB00107,Oxytocin,BE0002148,Prolyl endopeptidase,substrate,,,Humans,PREP,P48147
DB00107,Oxytocin,BE0010031,Leucyl-cystinyl aminopeptidase,substrate,,,Humans,LNPEP,Q9UIQ6
DB00109,Enfuvirtide,BE0003536,Cytochrome P450 2C19,substrate,,,Humans,CYP2C19,P33261
DB00109,Enfuvirtide,BE0003533,Cytochrome P450 2E1,substrate,,,Humans,CYP2E1,P05181
DB00115,Cyanocobalamin,BE0000456,Corrinoid adenosyltransferase MMAB,substrate,,,Humans,MMAB,Q96EY8
DB00115,Cyanocobalamin,BE0002668,Bifunctional adenosylcobalamin biosynthesis protein CobU,product of,,,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),cobU,Q05599
DB00115,Cyanocobalamin,BE0009637,Pancreatic proteases,substrate,,,,,
DB00118,Ademetionine,BE0000300,Spermidine synthase,substrate,,,Humans,SRM,P19623
DB00118,Ademetionine,BE0003533,Cytochrome P450 2E1,inhibitor,weak,,Humans,CYP2E1,P05181
DB00121,Biotin,BE0001111,Cytochrome P450 1B1,inducer,,unknown,Humans,CYP1B1,Q16678
DB00122,Choline,BE0002190,Choline/ethanolaminephosphotransferase 1,substrate,,,Humans,CEPT1,Q9Y6K0
DB00122,Choline,BE0000237,Choline/ethanolamine kinase,substrate,,,Humans,CHKB,Q9Y259
DB00122,Choline,BE0000519,Choline O-acetyltransferase,substrate,,,Humans,CHAT,P28329
DB00122,Choline,BE0000784,Choline kinase alpha,substrate,,,Humans,CHKA,P35790
DB00122,Choline,BE0000636,"Choline dehydrogenase, mitochondrial",substrate,,,Humans,CHDH,Q8NE62
DB00122,Choline,BE0000426,Acetylcholinesterase,product of,,,Humans,ACHE,P22303
DB00122,Choline,BE0000615,Choline-phosphate cytidylyltransferase A,product of,,,Humans,PCYT1A,P49585
