drugbank_id,drug_name,target_id,target_name,actions,known_action,organism,gene_name,uniprot_id
DB00001,Lepirudin,BE0000048,Prothrombin,inhibitor,yes,Humans,F2,P00734
DB00002,Cetuximab,BE0000767,Epidermal growth factor receptor,binder,yes,Humans,EGFR,P00533
DB00002,Cetuximab,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,binder,unknown,Humans,FCGR3B,O75015
DB00002,Cetuximab,BE0002094,Complement C1q subcomponent subunit A,binder,unknown,Humans,C1QA,P02745
DB00002,Cetuximab,BE0002095,Complement C1q subcomponent subunit B,binder,unknown,Humans,C1QB,P02746
DB00002,Cetuximab,BE0002096,Complement C1q subcomponent subunit C,binder,unknown,Humans,C1QC,P02747
DB00002,Cetuximab,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,binder,unknown,Humans,FCGR3A,P08637
DB00002,Cetuximab,BE0000710,High affinity immunoglobulin gamma Fc receptor I,binder,unknown,Humans,FCGR1A,P12314
DB00002,Cetuximab,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,binder,unknown,Humans,FCGR2A,P12318
DB00003,Dornase alfa,BE0012829,Deoxyribonuclease-1,other,yes,Humans,DNASE1,P24855
DB00004,Denileukin diftitox,BE0000658,Interleukin-2 receptor subunit alpha,ligand,yes,Humans,IL2RA,P01589
DB00004,Denileukin diftitox,BE0000651,Interleukin-2 receptor subunit beta,ligand,yes,Humans,IL2RB,P14784
DB00005,Etanercept,BE0000704,Tumor necrosis factor,"inhibitor, antibody",yes,Humans,TNF,P01375
DB00005,Etanercept,BE0001087,Lymphotoxin-alpha,antibody,yes,Humans,LTA,P01374
DB00005,Etanercept,BE0000710,High affinity immunoglobulin gamma Fc receptor I,ligand,no,Humans,FCGR1A,P12314
DB00005,Etanercept,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,ligand,no,Humans,FCGR2A,P12318
DB00005,Etanercept,BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,ligand,no,Humans,FCGR2B,P31994
DB00005,Etanercept,BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,ligand,no,Humans,FCGR2C,P31995
DB00005,Etanercept,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,ligand,no,Humans,FCGR3A,P08637
DB00005,Etanercept,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,ligand,no,Humans,FCGR3B,O75015
DB00005,Etanercept,BE0009995,Complement component 1q (C1q),ligand,no,Humans,C1QA,P02745
DB00006,Bivalirudin,BE0000048,Prothrombin,inhibitor,yes,Humans,F2,P00734
