drugbank_id,drug_name,transporter_id,transporter_name,actions,organism,gene_name,uniprot_id
DB00027,Gramicidin D,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00052,Somatotropin,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00067,Vasopressin,BE0001069,ATP-binding cassette sub-family C member 2,substrate,Humans,ABCC2,Q92887
DB00080,Daptomycin,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00091,Cyclosporine,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00091,Cyclosporine,BE0000703,Bile salt export pump,"substrate, inhibitor",Humans,ABCB11,O95342
DB00091,Cyclosporine,BE0003643,Ileal sodium/bile acid cotransporter,inhibitor,Humans,SLC10A2,Q12908
DB00091,Cyclosporine,BE0003644,Hepatic sodium/bile acid cotransporter,inhibitor,Humans,SLC10A1,Q14973
DB00091,Cyclosporine,BE0001066,Solute carrier family 22 member 6,"substrate, inhibitor",Humans,SLC22A6,Q4U2R8
DB00091,Cyclosporine,BE0003651,ATP-binding cassette sub-family C member 10,"substrate, inhibitor",Humans,ABCC10,Q5T3U5
DB00091,Cyclosporine,BE0001069,ATP-binding cassette sub-family C member 2,inhibitor,Humans,ABCC2,Q92887
DB00091,Cyclosporine,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,inhibitor,Humans,ABCG2,Q9UNQ0
DB00091,Cyclosporine,BE0001004,Solute carrier organic anion transporter family member 1B1,"substrate, inhibitor",Humans,SLCO1B1,Q9Y6L6
DB00091,Cyclosporine,BE0003659,Solute carrier organic anion transporter family member 1B3,inhibitor,Humans,SLCO1B3,Q9NPD5
DB00103,Agalsidase beta,BE0004494,Cation-dependent mannose-6-phosphate receptor,substrate,Humans,M6PR,P20645
DB00104,Octreotide,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00104,Octreotide,BE0001069,ATP-binding cassette sub-family C member 2,"substrate, inhibitor",Humans,ABCC2,Q92887
DB00107,Oxytocin,BE0010032,Advanced glycosylation end product-specific receptor,binder,Humans,AGER,Q15109
DB00115,Cyanocobalamin,BE0000340,Protein amnionless,substrate,Humans,AMN,Q9BXJ7
DB00115,Cyanocobalamin,BE0000238,Transcobalamin-1,substrate,Humans,TCN1,P20061
DB00115,Cyanocobalamin,BE0000362,Transcobalamin-2,substrate,Humans,TCN2,P20062
DB00115,Cyanocobalamin,BE0004690,Cobalamin binding intrinsic factor,substrate,Humans,CBLIF,P27352
DB00115,Cyanocobalamin,BE0000936,Cubilin,substrate,Humans,CUBN,O60494
DB00115,Cyanocobalamin,BE0000942,Low-density lipoprotein receptor-related protein 2,,Humans,LRP2,P98164
DB00115,Cyanocobalamin,BE0000785,Multidrug resistance-associated protein 1,,Humans,ABCC1,P33527
DB00116,Tetrahydrofolic acid,BE0001069,ATP-binding cassette sub-family C member 2,inhibitor,Humans,ABCC2,Q92887
